Lead_ID,Company_Name,Lead_Source,Industry,Estimated_Value,Status,Created_Date,Sales_Rep,Region,Customer_Type,Product_Interest
L001,Apex Beam Energy Trading,Partner Channel,Residential Installer,350000,Contacted,2024-12-17,Omar Ali,Ras Al Khaimah,Installer,Batteries
L002,Apex Beam Systems,Website Inquiry,Government / Semi-Government,685000,Lost,2025-03-09,Revanth Barik,Ras Al Khaimah,Government Client,Batteries
L003,Apex Charge Solar,Sales Referral,Residential Installer,425000,Quotation Sent,2025-07-18,Sarah Mathew,Ras Al Khaimah,Installer,Solar Panels
L004,Apex Charge Systems,Website Inquiry,Commercial & Industrial,925000,Converted,2025-07-19,Omar Ali,Sharjah,Commercial Client,Solar Panels
L005,Apex Grid Contracting,Website Inquiry,Utility Project,2000000,Contacted,2025-11-29,Omar Ali,Fujairah,Government Client,Batteries
L006,Apex Helios Power Solutions,Trade Exhibition,Real Estate Developer,540000,Contacted,2025-02-26,Aisha Khan,Sharjah,Commercial Client,Batteries
L007,Apex Power Contracting,Partner Channel,Real Estate Developer,535000,Lost,2024-04-20,Sarah Mathew,Ajman,Commercial Client,Inverters
L008,Apex Power Systems,Cold Outreach,Trading Partner,400000,Contacted,2024-08-16,Aisha Khan,Saudi Arabia,Distributor,Mounting Structures
L009,Apex Radiance Renewables,WhatsApp Inquiry,Facility Management,355000,Qualified,2025-10-18,Zayed Hussain,Ras Al Khaimah,Commercial Client,Cables & Accessories
L010,Apex Radiance Systems,WhatsApp Inquiry,Facility Management,335000,Contacted,2025-08-17,Revanth Barik,Dubai,Commercial Client,Cables & Accessories
L011,Apex Solar Renewables,Cold Outreach,Real Estate Developer,1115000,Converted,2025-06-07,Aisha Khan,Fujairah,Commercial Client,Cables & Accessories
L012,Bright Beam Power Solutions,Website Inquiry,Trading Partner,825000,Quotation Sent,2024-01-02,Zayed Hussain,Ras Al Khaimah,Government Client,Complete Solar Kit
L013,Bright Beam Systems,Repeat Customer,Trading Partner,155000,Lost,2024-12-04,Zayed Hussain,Fujairah,Distributor,Solar Panels
L014,Bright Charge Systems,Partner Channel,Utility Project,2215000,Qualified,2025-02-16,Revanth Barik,Africa Export,Export Customer,Cables & Accessories
L015,Bright Current EPC,Repeat Customer,Residential Installer,385000,Quotation Sent,2025-11-24,Omar Ali,Ajman,Installer,Batteries
L016,Bright Grid Solar,Website Inquiry,Real Estate Developer,835000,Qualified,2024-08-03,Sarah Mathew,Africa Export,Export Customer,Cables & Accessories
L017,Bright Helios Systems,Zoho Campaign,Facility Management,525000,Lost,2024-08-06,Zayed Hussain,Saudi Arabia,Commercial Client,Complete Solar Kit
L018,Bright Lumen Distribution,Partner Channel,Residential Installer,305000,Lost,2025-10-10,Zayed Hussain,Abu Dhabi,Installer,Inverters
L019,Bright Lumen Energy Trading,Trade Exhibition,Utility Project,1120000,New Inquiry,2024-02-17,Omar Ali,Ajman,Government Client,Solar Panels
L020,Bright Lumen Installations,Trade Exhibition,Government / Semi-Government,1910000,Quotation Sent,2025-02-13,Omar Ali,Oman,Government Client,Complete Solar Kit
